,SASR
Price/Earnings (TTM),8.89231
Price/Sales (TTM),2.9895
Price/Book (MRQ),1.07255
Price/Cash Flow (TTM),8.17879
5yr Low,18.0
5yr High,52.04
5yr Avg Return,0.006600000000000002
EPS Growth 5yr,0.20044440000000002
Revenue Growth 5yr,0.21429410000000002
Dividend Growth 5yr,0.054864699999999995
Short Int Current Month,1076447.0
Short Int Prev Month,1144392.0
Short Int Pct of Float,0.0249249
Days to Cover,5.78909
Float,43.2415
Shares Outstanding,44.64427
Institutions Holding Shares,266.0
% Held by Institutions,0.665181
FCF Growth 5yr,0.17001913945014535
