,SBGI
Price/Earnings (TTM),0.5444
Price/Sales (TTM),0.29251
Price/Book (MRQ),1.84714
Price/Cash Flow (TTM),0.34065
5yr Low,10.58
5yr High,66.57
5yr Avg Return,-0.07725
EPS Growth 5yr,
Revenue Growth 5yr,0.1852373
Dividend Growth 5yr,0.0256051
Short Int Current Month,2264546.0
Short Int Prev Month,2119710.0
Short Int Pct of Float,0.0546862
Days to Cover,2.57789
Float,41.42518
Shares Outstanding,69.62583
Institutions Holding Shares,236.0
% Held by Institutions,0.773668
FCF Growth 5yr,0.9582911287171939
