,SBSI
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.015243902439024293
Growth 1yr High Est,-0.011904761904761862
Growth 1yr Consensus Est,-0.013574332171893078
Growth 2yr Low Est,-0.004525975987313968
Growth 2yr High Est,0.006095811818703445
Growth 2yr Consensus Est,0.0007849179156947383
Growth 5yr Low Est,0.11380844057777151
Growth 5yr High Est,0.12309195877278784
Growth 5yr Consensus Est,0.11845019967527967
Growth 5yr Actual/Est,0.12207432714188912
Growth 3yr Historic,0.13189639308060364
