,SCSC
Price/Earnings (TTM),8.85771
Price/Sales (TTM),0.21815
Price/Book (MRQ),0.95321
Price/Cash Flow (TTM),6.56377
5yr Low,13.78
5yr High,44.3
5yr Avg Return,-0.013633333333333332
EPS Growth 5yr,0.0487707
Revenue Growth 5yr,-0.0021533
Dividend Growth 5yr,
Short Int Current Month,252914.0
Short Int Prev Month,245524.0
Short Int Pct of Float,0.01018
Days to Cover,2.00606
Float,24.83221
Shares Outstanding,25.24522
Institutions Holding Shares,224.0
% Held by Institutions,0.9691930000000001
FCF Growth 5yr,0.22950015188860173
