,SE
% Above Low,0.3225
% Held by Institutions,0.7696
52-Wk Range,['40.67 - 307.86']
Annual Dividend $,
Annual Dividend %,
Ask,53.78
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,53.73
Bid Size,100.0
Day Change $,-0.54
Day Change %,-0.009899999999999999
Day High,54.91
Day Low,53.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.85
Ex-dividend Date,No dividend
Historical Volatility,0.9620000000000001
Last (size),2.0
Last (time),1:53p ET 11/28/22
Market Cap,30.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,54.32
Price,53.78
Shares Outstanding,561.7M
Short Interest,0.0741
Today's Open,54.32
Volume Past Day,(Light)
