,SEIC
Price/Earnings (TTM),17.13944
Price/Sales (TTM),4.14267
Price/Book (MRQ),4.36929
Price/Cash Flow (TTM),14.03461
5yr Low,35.41
5yr High,78.35
5yr Avg Return,0.011150000000000004
EPS Growth 5yr,0.134414
Revenue Growth 5yr,0.0647859
Dividend Growth 5yr,0.0650441
Short Int Current Month,2301308.0
Short Int Prev Month,2831822.0
Short Int Pct of Float,0.0208429
Days to Cover,4.24934
Float,110.5123
Shares Outstanding,134.8285
Institutions Holding Shares,599.0
% Held by Institutions,0.7071040000000001
FCF Growth 5yr,-0.03652399251607844
