,SFBS
Price/Earnings (TTM),17.57777
Price/Sales (TTM),8.60576
Price/Book (MRQ),3.3493
Price/Cash Flow (TTM),17.20781
5yr Low,21.76
5yr High,97.25
5yr Avg Return,0.1668166666666667
EPS Growth 5yr,0.2022313
Revenue Growth 5yr,0.1435269
Dividend Growth 5yr,0.3899258
Short Int Current Month,2167017.0
Short Int Prev Month,2296200.0
Short Int Pct of Float,0.0434874
Days to Cover,18.02273
Float,49.82522
Shares Outstanding,54.32438
Institutions Holding Shares,328.0
% Held by Institutions,0.640017
FCF Growth 5yr,0.2262755779354543
