,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,25.0,29.67,25.32,28.0,30.61,35.34,,,,,
low,22.43,20.63,16.46,13.0,19.13,22.56,,,,,
change,0.0837,-0.0337,-0.1663,0.0366,0.4693,0.1386,,,,,
Date,,,,,,,2022-01-02 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,245.0,324.0,289.0,316.0,Balance Sheet
"Total Receivables, Net",,,,,,,22.0,14.0,13.0,11.0,Balance Sheet
Total Inventory,,,,,,,265.0,272.0,293.0,302.0,Balance Sheet
Prepaid Expenses,,,,,,,35.0,31.0,50.0,44.0,Balance Sheet
Total Current Assets,,,,,,,568.0,641.0,645.0,673.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,1788.0,1787.0,1774.0,1776.0,Balance Sheet
"Goodwill, Net",,,,,,,369.0,369.0,369.0,369.0,Balance Sheet
Intangibles - Net,,,,,,,185.0,185.0,185.0,185.0,Balance Sheet
Other Long Term Assets,,,,,,,14.0,16.0,15.0,15.0,Balance Sheet
Total Assets,,,,,,,2923.0,2998.0,2987.0,3018.0,Balance Sheet
Accounts Payable,,,,,,,146.0,166.0,174.0,167.0,Balance Sheet
Accrued Expenses,,,,,,,366.0,342.0,341.0,357.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,,15.0,,,Balance Sheet
Total Current Liabilities,,,,,,,513.0,524.0,515.0,525.0,Balance Sheet
Long Term Debt,,,,,,,250.0,250.0,250.0,250.0,Balance Sheet
Capital Lease Obligations,,,,,,,10.0,9.0,9.0,9.0,Balance Sheet
Total Long Term Debt,,,,,,,260.0,259.0,259.0,259.0,Balance Sheet
Total Debt,,,,,,,261.0,261.0,260.0,260.0,Balance Sheet
Deferred Income Tax,,,,,,,58.0,60.0,60.0,59.0,Balance Sheet
"Other Liabilities, Total",,,,,,,1132.0,1142.0,1139.0,1134.0,Balance Sheet
Total Liabilities,,,,,,,1963.0,1986.0,1974.0,1977.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,705.0,712.0,715.0,720.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,259.0,301.0,298.0,320.0,Balance Sheet
"Other Equity, Total",,,,,,,-4.0,-1.0,0.0,0.0,Balance Sheet
Total Equity,,,,,,,960.0,1012.0,1014.0,1041.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,2923.0,2998.0,2987.0,3018.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,111.0,110.0,110.0,106.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2022-01-02 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Income Statement
Total Revenue,,,,,,,1493.0,1641.0,1595.0,1591.0,Income Statement
"Cost of Revenue, Total",,,,,,,960.0,1029.0,1015.0,1007.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,444.0,455.0,459.0,457.0,Income Statement
Labor & Related Expense,,,,,,,5.0,4.0,3.0,4.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,449.0,460.0,462.0,461.0,Income Statement
Depreciation/Amortization,,,,,,,30.0,32.0,31.0,30.0,Income Statement
Unusual Expense (Income),,,,,,,3.0,0.0,0.0,2.0,Income Statement
Total Operating Expense,,,,,,,1441.0,1522.0,1509.0,1501.0,Income Statement
Total Operating Income,,,,,,,51.0,120.0,87.0,90.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-1.0,-2.0,-2.0,-3.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,-1.0,-1.0,-1.0,1.0,Income Statement
Income Before Tax,,,,,,,49.0,117.0,84.0,88.0,Income Statement
Income Tax - Total,,,,,,,12.0,28.0,22.0,23.0,Income Statement
Income After Tax,,,,,,,36.0,88.0,62.0,66.0,Income Statement
Net Inc Before Extra Items,,,,,,,36.0,88.0,62.0,66.0,Income Statement
Total Net Income,,,,,,,36.0,88.0,62.0,66.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,36.0,88.0,62.0,66.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,36.0,88.0,62.0,66.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,112.0,111.0,109.0,107.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.32,0.8,0.57,0.61,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.32,0.8,0.57,0.61,Income Statement
Diluted Weighted Average Shares,,,,,,,113.0,112.0,110.0,108.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,0.32,0.79,0.57,0.61,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,0.32,0.79,0.57,0.61,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.8,0.0,,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,1.0,2.0,2.0,3.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,31.0,33.0,32.0,31.0,Income Statement
Total Special Items,,,,,,,3.0,0.0,0.0,2.0,Income Statement
Normalzd Income Before Tax,,,,,,,51.0,117.0,84.0,91.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,1.0,0.0,0.0,1.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,13.0,28.0,22.0,23.0,Income Statement
Normalized Income After Tax,,,,,,,38.0,89.0,62.0,67.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,38.0,89.0,62.0,67.0,Income Statement
Basic Normalized EPS,,,,,,,0.34,0.8,0.57,0.63,Income Statement
Diluted Normalized EPS,,,,,,,0.34,0.79,0.57,0.62,Income Statement
Date,,,,,,,2022-01-02 00:00:00,2022-04-03 00:00:00,2022-07-03 00:00:00,2022-10-02 00:00:00,Cash Flow
Net Income,,,,,,,244157.0,88307.0,150304.0,216044.0,Cash Flow
Depreciation/Depletion,,,,,,,125541.0,32720.0,64856.0,96057.0,Cash Flow
Deferred Taxes,,,,,,,-178.0,2291.0,1770.0,1025.0,Cash Flow
Unusual Items,,,,,,,4762.0,171.0,171.0,171.0,Cash Flow
Other Non-Cash Items,,,,,,,125567.0,32812.0,65604.0,99392.0,Cash Flow
Non-Cash Items,,,,,,,130329.0,32983.0,65775.0,99563.0,Cash Flow
