,SGEN
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.007712082262210873
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,-0.0038560411311054366
Growth 2yr Low Est,-0.0038560411311054366
Growth 2yr High Est,-0.5942249240121581
Growth 2yr Consensus Est,-0.29904048257163174
Growth 5yr Low Est,-0.7610406394425949
Growth 5yr High Est,-1.0135938180806443
Growth 5yr Consensus Est,-0.8873172287616194
Growth 5yr Actual/Est,-1.7579946618552977
Growth 3yr Historic,-1.6520848788328388
