,SGRY
% Above Low,0.2708
% Held by Institutions,0.9072
52-Wk Range,['20.46 - 63.87']
Annual Dividend $,
Annual Dividend %,
Ask,26.04
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.8
Bid,26.0
Bid Size,200.0
Day Change $,-2.23
Day Change %,-0.079
Day High,28.18
Day Low,25.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.35
Ex-dividend Date,No dividend
Historical Volatility,0.721
Last (size),100.0
Last (time),2:09p ET 11/28/22
Market Cap,3.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,28.23
Price,26.0
Shares Outstanding,113.4M
Short Interest,0.0824
Today's Open,27.41
Volume Past Day,(Light)
