,SHEN
% Above Low,0.20829999999999999
% Held by Institutions,0.5518
52-Wk Range,['15.63 - 26.96']
Annual Dividend $,0.08
Annual Dividend %,0.004
Ask,18.91
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.6
Bid,18.85
Bid Size,100.0
Day Change $,-1.01
Day Change %,-0.050499999999999996
Day High,19.88
Day Low,18.87
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",-0.2
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.47700000000000004
Last (size),100.0
Last (time),2:10p ET 11/28/22
Market Cap,946.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,19.89
Price,18.89
Shares Outstanding,50.1M
Short Interest,0.0231
Today's Open,19.88
Volume Past Day,(Light)
