,SIBN
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.10919540229885061
Growth 1yr High Est,0.1366459627329193
Growth 1yr Consensus Est,0.12292068251588495
Growth 2yr Low Est,0.03387231254838907
Growth 2yr High Est,-0.08741472355157315
Growth 2yr Consensus Est,-0.026771205501592038
Growth 5yr Low Est,0.04086156588041173
Growth 5yr High Est,-0.014803457871882614
Growth 5yr Consensus Est,0.01302905400426456
Growth 5yr Actual/Est,0.013225455253324303
Growth 3yr Historic,0.026935483870967697
