,SKIN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",55.08,62.45,Valuation,0.8819855884707766
Price/Sales (TTM),4.11,4.04,Valuation,1.0173267326732673
Price/Book (MRQ),5.51,11.21,Valuation,0.4915254237288135
"PEG Ratio (TTM, GAAP)",,2.11,Valuation,
Gross Profit Margin (TTM),0.7000000000000001,0.701,Profitability,0.9985734664764624
Operating Profit Margin (TTM),-0.0802,0.13949999999999999,Profitability,-0.5749103942652329
Net Profit Margin (TTM),0.06730000000000001,0.0981,Profitability,0.6860346585117229
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,0.0034999999999999996,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-0.9834,-0.23070000000000002,Gowth rates,4.2626788036410925
EPS Growth (TTM),1.0511,-0.2964,Gowth rates,-3.5462213225371118
Revenue Growth (MRQ),-0.1424,-0.0493,Gowth rates,2.8884381338742395
Revenue Growth (TTM),0.1472,0.046200000000000005,Gowth rates,3.1861471861471857
Return On Equity (TTM),0.40149999999999997,0.289,Effectiveness,1.3892733564013842
Return On Assets (TTM),0.0221,0.0375,Effectiveness,0.5893333333333334
Return On Investment (TTM),0.0235,0.1008,Effectiveness,0.23313492063492064
Revenue Per Employee (TTM),490955.0,706730.0,Effectiveness,0.6946853819704838
Total Debt/Total Capital (MRQ),0.7398,0.49520000000000003,Financial strength,1.4939418416801291
Change in Debt/Total Capital Quarter over Quarter,-0.0009,0.0046,Financial strength,-0.1956521739130435
Quick Ratio (MRQ),10.34,1.34,Financial strength,7.716417910447761
Interest Coverage (MRQ),-0.46,14.94,Financial strength,-0.030789825970548863
