,SMCI
% Below High,0.0197
% Held by Institutions,0.7268000000000001
52-Wk Range,['34.11 - 95.22']
Annual Dividend $,
Annual Dividend %,
Ask,93.38
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.4
Bid,93.15
Bid Size,300.0
Day Change $,-0.53
Day Change %,-0.005600000000000001
Day High,95.22
Day Low,93.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.16
Ex-dividend Date,No dividend
Historical Volatility,0.624
Last (size),100.0
Last (time),2:39p ET 11/28/22
Market Cap,4.9B
"P/E Ratio (TTM, GAAP)",11.5
Prev Close,93.87
Price,93.34
Shares Outstanding,52.9M
Short Interest,0.06309999999999999
Today's Open,93.0
Volume Past Day,(Below Average)
