,SNCY
% Above Low,0.48600000000000004
% Held by Institutions,1.1048
52-Wk Range,['13.25 - 30.61']
Annual Dividend $,
Annual Dividend %,
Ask,19.7
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,
Bid,19.69
Bid Size,100.0
Day Change $,-1.52
Day Change %,-0.0717
Day High,20.89
Day Low,19.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.16
Ex-dividend Date,No dividend
Historical Volatility,0.5700000000000001
Last (size),100.0
Last (time),2:45p ET 11/28/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",135.48
Prev Close,21.21
Price,19.69
Shares Outstanding,58.2M
Short Interest,0.051
Today's Open,20.89
Volume Past Day,(Heavy Day)
