,SOND
% Above Low,0.9589
% Held by Institutions,0.5700999999999999
52-Wk Range,['0.901 - 10.88']
Annual Dividend $,
Annual Dividend %,
Ask,1.77
Ask Size,900.0
B/A Ratio,1.2222222222222223
B/A Size,1100x900
Beta,
Bid,1.76
Bid Size,1100.0
Day Change $,-0.055
Day Change %,-0.0302
Day High,1.83
Day Low,1.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.79
Ex-dividend Date,No dividend
Historical Volatility,1.171
Last (size),27.0
Last (time),2:54p ET 11/28/22
Market Cap,384.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.82
Price,1.77
Shares Outstanding,218.1M
Short Interest,0.0663
Today's Open,1.77
Volume Past Day,(Light)
