,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,17.41,16.83,,,,,
low,12.64,9.52,,,,,
change,0.0203,-0.06269999999999999,,,,,
Date,,,2021-12-25 00:00:00,2022-03-26 00:00:00,2022-06-25 00:00:00,2022-09-24 00:00:00,Balance Sheet
Cash and Short Term Invs,,,66.0,70.0,73.0,82.0,Balance Sheet
"Total Receivables, Net",,,71.0,83.0,74.0,84.0,Balance Sheet
Invent. - Finished Goods,,,39.0,36.0,62.0,71.0,Balance Sheet
Invent. - Raw Materials,,,13.0,14.0,15.0,13.0,Balance Sheet
Total Inventory,,,52.0,50.0,77.0,84.0,Balance Sheet
Prepaid Expenses,,,7.0,7.0,4.0,6.0,Balance Sheet
Total Current Assets,,,195.0,210.0,227.0,256.0,Balance Sheet
Prop./Plant/Equip. - Net,,,78.0,83.0,81.0,79.0,Balance Sheet
"Goodwill, Net",,,437.0,437.0,395.0,395.0,Balance Sheet
Intangibles - Gross,,,558.0,558.0,558.0,558.0,Balance Sheet
Accum. Intangible Amort.,,,-94.0,-101.0,-107.0,-114.0,Balance Sheet
Intangibles - Net,,,465.0,458.0,451.0,444.0,Balance Sheet
Other Long Term Assets,,,2.0,2.0,2.0,4.0,Balance Sheet
Total Assets,,,1178.0,1190.0,1157.0,1179.0,Balance Sheet
Accounts Payable,,,37.0,43.0,50.0,52.0,Balance Sheet
Accrued Expenses,,,55.0,54.0,51.0,64.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Liabilities,,,92.0,97.0,101.0,116.0,Balance Sheet
Long Term Debt,,,474.0,475.0,475.0,475.0,Balance Sheet
Capital Lease Obligations,,,7.0,7.0,7.0,7.0,Balance Sheet
Total Long Term Debt,,,481.0,482.0,482.0,482.0,Balance Sheet
Total Debt,,,482.0,482.0,482.0,482.0,Balance Sheet
Deferred Income Tax,,,77.0,77.0,66.0,66.0,Balance Sheet
"Other Liabilities, Total",,,18.0,17.0,16.0,15.0,Balance Sheet
Total Liabilities,,,668.0,673.0,665.0,679.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,559.0,563.0,568.0,572.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-50.0,-46.0,-76.0,-75.0,Balance Sheet
Other Equity,,,0.0,,,,Balance Sheet
Other Comprehensive Income,,,,,,1.0,Balance Sheet
"Other Equity, Total",,,0.0,,,1.0,Balance Sheet
Total Equity,,,509.0,518.0,492.0,499.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1178.0,1190.0,1157.0,1179.0,Balance Sheet
Ttl Comm. Shares Outs.,,,101.0,101.0,101.0,101.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-25 00:00:00,2022-03-26 00:00:00,2022-06-25 00:00:00,2022-09-24 00:00:00,Income Statement
Total Revenue,,,189244.0,209933.0,197433.0,208907.0,Income Statement
"Cost of Revenue, Total",,,129752.0,156025.0,142410.0,147090.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,43693.0,33318.0,39449.0,43965.0,Income Statement
Depreciation/Amortization,,,7240.0,7203.0,7200.0,7209.0,Income Statement
Impair-Assets Held for Use,,,0.0,,42052.0,0.0,Income Statement
Other Unusual Expnse (In),,,10665.0,597.0,0.0,0.0,Income Statement
Unusual Expense (Income),,,10665.0,597.0,42052.0,0.0,Income Statement
Total Operating Expense,,,191350.0,197143.0,231111.0,198264.0,Income Statement
Total Operating Income,,,-2106.0,12790.0,-33678.0,10643.0,Income Statement
"Inter Expse,Net Non-Operat",,,-6272.0,-6022.0,-5713.0,-6679.0,Income Statement
Income Before Tax,,,-8378.0,6768.0,-39391.0,3964.0,Income Statement
Income Tax - Total,,,-4538.0,2711.0,-9106.0,2500.0,Income Statement
Income After Tax,,,-3840.0,4057.0,-30285.0,1464.0,Income Statement
Net Inc Before Extra Items,,,-3840.0,4057.0,-30285.0,1464.0,Income Statement
