,SPSC
% Below High,0.1052
% Held by Institutions,1.0219
52-Wk Range,['96.41 - 147.78']
Annual Dividend $,
Annual Dividend %,
Ask,132.54
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,131.94
Bid Size,200.0
Day Change $,0.24
Day Change %,0.0018
Day High,134.13
Day Low,128.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.41
Ex-dividend Date,No dividend
Historical Volatility,0.433
Last (size),1.0
Last (time),3:03p ET 11/28/22
Market Cap,4.8B
"P/E Ratio (TTM, GAAP)",93.88
Prev Close,132.0
Price,132.24
Shares Outstanding,36.0M
Short Interest,0.0184
Today's Open,131.57
Volume Past Day,(Average)
