,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,32.29,39.28,52.17,56.9,68.24,75.25,,,,,
low,29.93,25.22,26.21,25.5,51.63,41.66,,,,,
change,-0.016,-0.115,0.8761,0.0646,0.0851,0.1404,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,388.0,263.0,190.0,183.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,252.0,253.0,274.0,296.0,Balance Sheet
Other Receivables,,,,,,,9.0,,,,Balance Sheet
"Total Receivables, Net",,,,,,,261.0,253.0,274.0,296.0,Balance Sheet
Invent. - Finished Goods,,,,,,,55.0,59.0,64.0,73.0,Balance Sheet
Invent. - Work In Progress,,,,,,,21.0,25.0,29.0,34.0,Balance Sheet
Invent. - Raw Materials,,,,,,,114.0,137.0,144.0,158.0,Balance Sheet
Total Inventory,,,,,,,190.0,221.0,236.0,265.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,,,,,0.0,,,,Balance Sheet
Other Current Assets,,,,,,,64.0,79.0,79.0,93.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,64.0,79.0,79.0,93.0,Balance Sheet
Total Current Assets,,,,,,,903.0,816.0,779.0,838.0,Balance Sheet
Buildings,,,,,,,63.0,63.0,63.0,62.0,Balance Sheet
Land/Improvements,,,,,,,14.0,14.0,14.0,14.0,Balance Sheet
Machinery/Equipment,,,,,,,231.0,233.0,234.0,228.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,42.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,350.0,310.0,310.0,304.0,Balance Sheet
Accumulated Depreciation,,,,,,,-195.0,-199.0,-201.0,-197.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,155.0,111.0,110.0,107.0,Balance Sheet
"Goodwill, Net",,,,,,,457.0,491.0,460.0,449.0,Balance Sheet
Intangibles - Gross,,,,,,,477.0,476.0,492.0,485.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-61.0,-70.0,-76.0,-82.0,Balance Sheet
Intangibles - Net,,,,,,,416.0,406.0,416.0,404.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,11.0,13.0,16.0,25.0,Balance Sheet
Disct. Ops. - LT Asset,,,,,,,52.0,55.0,47.0,41.0,Balance Sheet
Other Long Term Assets,,,,,,,634.0,677.0,663.0,620.0,Balance Sheet
Total Assets,,,,,,,2629.0,2567.0,2490.0,2483.0,Balance Sheet
Accounts Payable,,,,,,,120.0,111.0,116.0,125.0,Balance Sheet
Accrued Expenses,,,,,,,218.0,177.0,183.0,195.0,Balance Sheet
