,SSD
% Above Low,0.2133
% Held by Institutions,0.887
52-Wk Range,['75.25 - 141.26']
Annual Dividend $,1.04
Annual Dividend %,0.011200000000000002
Ask,91.29
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,91.18
Bid Size,100.0
Day Change $,-1.74
Day Change %,-0.0187
Day High,92.49
Day Low,91.22
Dividend Pay Date,2023-01-26 00:00:00
"EPS (TTM, GAAP)",8.0
Ex-dividend,2023-01-04 00:00:00
Ex-dividend Date,01/04/23
Historical Volatility,0.35600000000000004
Last (size),1900.0
Last (time),3:16p ET 11/28/22
Market Cap,3.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.63
Prev Close,93.04
Price,91.3
Shares Outstanding,42.6M
Short Interest,0.0182
Today's Open,91.78
Volume Past Day,(Average)
