,SSNC
Price/Earnings (TTM),20.05256
Price/Sales (TTM),2.5206
Price/Book (MRQ),2.3068
Price/Cash Flow (TTM),9.75271
5yr Low,29.51
5yr High,84.85
5yr Avg Return,0.06679999999999998
EPS Growth 5yr,0.3628655
Revenue Growth 5yr,0.2780237
Dividend Growth 5yr,0.22155709999999998
Short Int Current Month,2772423.0
Short Int Prev Month,3122237.0
Short Int Pct of Float,0.0126163
Days to Cover,1.66364
Float,219.7548
Shares Outstanding,251.9108
Institutions Holding Shares,761.0
% Held by Institutions,0.8413720000000001
FCF Growth 5yr,0.4087476286302895
