,STAA
Price/Earnings (TTM),78.11868
Price/Sales (TTM),10.32987
Price/Book (MRQ),9.01307
Price/Cash Flow (TTM),68.88258
5yr Low,13.6
5yr High,163.08
5yr Avg Return,0.35418333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.22829999999999998
Dividend Growth 5yr,
Short Int Current Month,2365032.0
Short Int Prev Month,3067978.0
Short Int Pct of Float,0.049444800000000004
Days to Cover,3.35591
Float,47.89403
Shares Outstanding,48.2063
Institutions Holding Shares,394.0
% Held by Institutions,0.980981
FCF Growth 5yr,6.413957137183995
