,STBA
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.19217081850533813
Growth 1yr High Est,0.15646258503401356
Growth 1yr Consensus Est,0.17431670176967584
Growth 2yr Low Est,0.07071227492431087
Growth 2yr High Est,0.08705482192877145
Growth 2yr Consensus Est,0.07888354842654116
Growth 5yr Low Est,0.019522804128822097
Growth 5yr High Est,0.03771345747601365
Growth 5yr Consensus Est,0.028618130802417874
Growth 5yr Actual/Est,0.08978696433412209
Growth 3yr Historic,0.042932259327627675
