,STRO
% Above Low,1.1081
% Held by Institutions,0.9041
52-Wk Range,['3.33 - 17.70']
Annual Dividend $,
Annual Dividend %,
Ask,7.03
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.0
Bid,7.01
Bid Size,200.0
Day Change $,-0.4
Day Change %,-0.053899999999999997
Day High,7.55
Day Low,6.98
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.59
Ex-dividend Date,No dividend
Historical Volatility,0.7809999999999999
Last (size),100.0
Last (time),3:35p ET 11/28/22
Market Cap,403.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.42
Price,7.02
Short Interest,0.0702
Today's Open,7.39
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.003816793893129833
Growth 1yr High Est,-0.11063829787234047
Growth 1yr Consensus Est,-0.057227545882735154
Growth 2yr Low Est,0.14368547278523586
Growth 2yr High Est,-0.14144355085004578
Growth 2yr Consensus Est,0.001120960967595036
Growth 5yr Low Est,0.07184273639261793
Growth 5yr High Est,-0.07072177542502289
Growth 5yr Consensus Est,0.000560480483797518
Growth 5yr Actual/Est,0.20680079404030544
Growth 3yr Historic,0.18013468013468015
Price/Earnings (TTM),
Price/Sales (TTM),6.11038
Price/Book (MRQ),1.76456
Price/Cash Flow (TTM),
5yr Low,3.33
5yr High,28.3
5yr Avg Return,-0.013980000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.0070942
Dividend Growth 5yr,
Short Int Current Month,3806543.0
Short Int Prev Month,4148490.0
Short Int Pct of Float,0.07019210000000001
Days to Cover,10.69152
Float,54.22581
Shares Outstanding,57.47547
Institutions Holding Shares,160.0
FCF Growth 5yr,-0.6724898720024123
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-1.6441999999999999
Net Profit Margin (TTM),-1.7585
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3279
EPS Growth (TTM),0.1192
Revenue Growth (MRQ),-0.105
Revenue Growth (TTM),0.1729
Return On Equity (TTM),-0.4782
Return On Assets (TTM),-0.3179
Return On Investment (TTM),-0.3618
Revenue Per Employee (TTM),311580.0
Total Debt/Total Capital (MRQ),0.07740000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0028000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-06-29 00:00:00
theStreet since,2021-06-29 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
