,STRO
% Above Low,1.1081
% Held by Institutions,0.9041
52-Wk Range,['3.33 - 17.70']
Annual Dividend $,
Annual Dividend %,
Ask,7.03
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.0
Bid,7.01
Bid Size,200.0
Day Change $,-0.4
Day Change %,-0.053899999999999997
Day High,7.55
Day Low,6.98
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.59
Ex-dividend Date,No dividend
Historical Volatility,0.7809999999999999
Last (size),100.0
Last (time),3:35p ET 11/28/22
Market Cap,403.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.42
Price,7.02
Shares Outstanding,57.5M
Short Interest,0.0702
Today's Open,7.39
Volume Past Day,(Light)
