,TBK
% Above Low,0.25370000000000004
% Held by Institutions,0.846
52-Wk Range,['46.03 - 136.02']
Annual Dividend $,
Annual Dividend %,
Ask,57.95
Ask Size,100.0
Ask close,74.22
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,54.46
Bid Size,100.0
Bid close,46.56
Change Since Close,-0.02| |(-0.03%)
Closing Price,57.71
Day Change $,-3.2
Day Change %,-0.0525
Day High,60.47
Day Low,57.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.31
Ex-dividend Date,No dividend
Historical Volatility,0.514
Last (size),100.0
Last (time),3:59p ET 11/28/22
Last Trade,57.69
Market Cap,1.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.14
Prev Close,60.91
Short Interest,0.06309999999999999
Today's Open,60.47
Volume,235333.0
Volume 10-day Avg,199417.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.05980861244019131
Growth 1yr High Est,-0.11622807017543846
Growth 1yr Consensus Est,-0.08801834130781488
Growth 2yr Low Est,-0.19148191436258927
Growth 2yr High Est,-0.17970212441774408
Growth 2yr Consensus Est,-0.18559201939016667
Growth 5yr Low Est,0.13582586309520303
Growth 5yr High Est,0.17366245130464134
Growth 5yr Consensus Est,0.15474415719992218
Growth 5yr Actual/Est,0.11431175610611019
Growth 3yr Historic,0.2109530083443127
Price/Earnings (TTM),14.14269
Price/Sales (TTM),3.04254
Price/Book (MRQ),1.76202
Price/Cash Flow (TTM),11.16892
5yr Low,19.03
5yr High,136.02
5yr Avg Return,0.23513333333333336
EPS Growth 5yr,0.31691569999999997
Revenue Growth 5yr,0.2549846
Dividend Growth 5yr,
Short Int Current Month,1457124.0
Short Int Prev Month,1422617.0
Short Int Pct of Float,0.0631275
Days to Cover,6.20782
Float,23.08224
Shares Outstanding,24.47829
Institutions Holding Shares,245.0
FCF Growth 5yr,1.340935809085433
"Price/Earnings (TTM, GAAP)",14.14
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2961
Net Profit Margin (TTM),0.2273
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6459999999999999
EPS Growth (TTM),-0.059699999999999996
Revenue Growth (MRQ),-0.028999999999999998
Revenue Growth (TTM),0.138
Return On Equity (TTM),0.1334
Return On Assets (TTM),0.0191
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0033000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-18 00:00:00
theStreet since,2022-10-24 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
