,TDCX
% Above Low,0.8420000000000001
% Held by Institutions,0.8874
52-Wk Range,['6.52 - 20.96']
Annual Dividend $,
Annual Dividend %,
Ask,15.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,11.5
Bid Size,100.0
Closing Price,12.01
Day Change $,1.39
Day Change %,0.1309
Day High,12.32
Day Low,10.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.54
Ex-dividend Date,No dividend
Historical Volatility,0.9690000000000001
Last (size),2300.0
Last (time),4:00p ET 11/28/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",19.53
Prev Close,10.62
Short Interest,0.0408
Today's Open,10.72
Volume,281775.0
Volume 10-day Avg,201608.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,
Growth Analysts,2.0
Growth 1yr Low Est,-0.17543859649122806
Growth 1yr High Est,0.03333333333333344
Growth 1yr Consensus Est,-0.07105263157894731
Growth 2yr Low Est,0.018663680477790157
Growth 2yr High Est,0.10537634408602159
Growth 2yr Consensus Est,0.06202001228190587
Growth 5yr Low Est,0.018663680477790157
Growth 5yr High Est,0.10537634408602159
Growth 5yr Consensus Est,0.06202001228190587
Growth 5yr Actual/Est,0.06488095238095243
Growth 3yr Historic,0.0
Price/Earnings (TTM),19.53033
Price/Sales (TTM),3.3136
Price/Book (MRQ),3.88981
Price/Cash Flow (TTM),14.43344
5yr Low,6.52
5yr High,30.0
5yr Avg Return,-0.23159999999999997
Short Int Current Month,899323.0
Short Int Prev Month,1020008.0
Short Int Pct of Float,0.0407694
Days to Cover,2.91401
Float,22.05798
Shares Outstanding,145.7628
Institutions Holding Shares,89.0
FCF Growth 5yr,0.2497429524235032
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",19.53
"PEG Ratio (TTM, GAAP)",1.48
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.228
Net Profit Margin (TTM),0.16940000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1591
EPS Growth (TTM),0.0009
Revenue Growth (MRQ),0.06480000000000001
Revenue Growth (TTM),0.2336
Return On Equity (TTM),0.4581
Return On Assets (TTM),0.22160000000000002
Return On Investment (TTM),0.2738
Revenue Per Employee (TTM),31767.0
Total Debt/Total Capital (MRQ),0.0605
Change in Debt/Total Capital Quarter over Quarter,-0.0094
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
cfra,
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,
cfra since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
