,TDS
% Above Low,0.0076
% Held by Institutions,0.9414
52-Wk Range,['9.81 - 21.47']
Annual Dividend $,0.72
Annual Dividend %,0.0699
Ask,10.23
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.0
Bid,9.86
Bid Size,600.0
Change Since Close,0.00| |(0.00%)
Closing Price,9.88
Day Change $,-0.42
Day Change %,-0.0408
Day High,10.57
Day Low,9.87
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",0.43
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.484
Last (size),130.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,1.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",24.11
Prev Close,10.3
Shares Outstanding,113.6M
Short Interest,0.0354
Today's Open,10.2
Volume,1999239.0
Volume 10-day Avg,2480562.0
Volume Past Day,(Below Average)
