,TGT
% Above Low,0.2057
% Held by Institutions,0.7656999999999999
52-Wk Range,['137.16 - 254.87']
Annual Dividend $,4.32
Annual Dividend %,0.0264
Ask,165.74
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,165.01
Bid Size,100.0
Change Since Close,0.37| |(0.22%)
Closing Price,165.37
Day Change $,1.99
Day Change %,0.012199999999999999
Day High,166.89
Day Low,162.81
Dividend Pay Date,2022-12-10 00:00:00
"EPS (TTM, GAAP)",7.31
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.488
Last (size),1500.0
Last (time),4:10p ET 11/28/22
Last Trade,165.74
Market Cap,76.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.37
Prev Close,163.38
Shares Outstanding,460.3M
Short Interest,0.028999999999999998
Today's Open,162.81
Volume,4611880.0
Volume 10-day Avg,9454621.0
Volume Past Day,(Light)
