,THS
% Below High,0.041299999999999996
% Held by Institutions,1.0405
52-Wk Range,['29.47 - 51.04']
Annual Dividend $,
Annual Dividend %,
Ask,77.98
Ask Size,200.0
B/A Ratio,2.0
B/A Size,400x200
Beta,0.5
Bid,32.0
Bid Size,400.0
Change Since Close,0.00| |(0.00%)
Closing Price,48.93
Day Change $,0.04
Day Change %,0.0008
Day High,49.32
Day Low,48.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.52
Ex-dividend Date,No dividend
Historical Volatility,0.392
Last (size),79.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,48.89
Shares Outstanding,56.1M
Short Interest,0.0225
Today's Open,48.71
Volume,277087.0
Volume 10-day Avg,340740.0
Volume Past Day,(Below Average)
