,TNDM
% Above Low,0.22870000000000001
% Held by Institutions,0.9934999999999999
52-Wk Range,['33.52 - 155.86']
Annual Dividend $,
Annual Dividend %,
Ask,41.31
Ask Size,100.0
Ask close,43.44
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.9
Bid,39.55
Bid Size,1000.0
Bid close,38.44
Change Since Close,0.00| |(0.00%)
Closing Price,41.18
Day Change $,1.64
Day Change %,0.0415
Day High,41.26
Day Low,38.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.06
Ex-dividend Date,No dividend
Historical Volatility,0.6900000000000001
Last (size),1000.0
Last (time),4:00p ET 11/28/22
Last Trade,41.18
Market Cap,2.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,39.54
Short Interest,0.0892
Today's Open,39.16
Volume,1478916.0
Volume 10-day Avg,990301.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.13888888888888884
Growth 2yr High Est,-1.341880341880342
Growth 2yr Consensus Est,-0.7403846153846154
Growth 5yr Low Est,-0.13888888888888884
Growth 5yr High Est,-1.341880341880342
Growth 5yr Consensus Est,-0.7403846153846154
Growth 5yr Actual/Est,-1.992395481814773
Growth 3yr Historic,-0.2738095238095237
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),3.22
Price/Book (MRQ),6.02
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.52
Operating Profit Margin (TTM),-0.0788
Net Profit Margin (TTM),-0.0859
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.2445
EPS Growth (TTM),-4.095
Revenue Growth (MRQ),0.021400000000000002
Revenue Growth (TTM),0.19649999999999998
Return On Equity (TTM),-0.1674
Return On Assets (TTM),-0.0716
Return On Investment (TTM),-0.08470000000000001
Revenue Per Employee (TTM),395356.0
Total Debt/Total Capital (MRQ),0.40130000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),4.2
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-05-13 00:00:00
theStreet since,2022-06-14 00:00:00
cfra since,2021-01-25 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
