,TNDM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),3.22,9.8,Valuation,0.32857142857142857
Price/Book (MRQ),6.02,10.31,Valuation,0.5838991270611057
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.52,0.6196,Profitability,0.8392511297611361
Operating Profit Margin (TTM),-0.0788,0.047,Profitability,-1.676595744680851
Net Profit Margin (TTM),-0.0859,0.009300000000000001,Profitability,-9.236559139784946
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-2.2445,-0.4858,Gowth rates,4.6202140798682585
EPS Growth (TTM),-4.095,-0.2029,Gowth rates,20.182355840315424
Revenue Growth (MRQ),0.021400000000000002,0.1161,Gowth rates,0.18432385874246343
Revenue Growth (TTM),0.19649999999999998,0.18300000000000002,Gowth rates,1.0737704918032784
Return On Equity (TTM),-0.1674,0.1068,Effectiveness,-1.5674157303370786
Return On Assets (TTM),-0.0716,0.0622,Effectiveness,-1.1511254019292605
Return On Investment (TTM),-0.08470000000000001,0.0732,Effectiveness,-1.1571038251366121
Revenue Per Employee (TTM),395356.0,403586.0,Effectiveness,0.9796078159301859
Total Debt/Total Capital (MRQ),0.40130000000000005,0.3161,Financial strength,1.2695349572919963
Change in Debt/Total Capital Quarter over Quarter,-0.0018,0.0125,Financial strength,-0.144
Quick Ratio (MRQ),4.2,2.25,Financial strength,1.8666666666666667
Interest Coverage (MRQ),,14.99,Financial strength,
