,TNET
% Above Low,0.1629
% Held by Institutions,0.9397
52-Wk Range,['60.61 - 104.56']
Annual Dividend $,
Annual Dividend %,
Ask,71.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,68.17
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,70.48
Day Change $,-0.3
Day Change %,-0.0042
Day High,71.21
Day Low,70.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.81
Ex-dividend Date,No dividend
Historical Volatility,0.365
Last (size),289.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,4.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.18
Prev Close,70.78
Shares Outstanding,62.2M
Short Interest,0.0248
Today's Open,70.32
Volume,261037.0
Volume 10-day Avg,264957.0
Volume Past Day,(Average)
