,TNGX
% Above Low,1.2075
% Held by Institutions,0.7744
52-Wk Range,['3.18 - 11.73']
Annual Dividend $,
Annual Dividend %,
Ask,7.03
Ask Size,600.0
Ask close,8.7
B/A Ratio,4.166666666666667
B/A Size,2500x600
Beta,
Bid,6.99
Bid Size,2500.0
Bid close,5.48
Change Since Close,0.00| |(0.00%)
Closing Price,7.02
Day Change $,-0.43
Day Change %,-0.057699999999999994
Day High,7.65
Day Low,6.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.15
Ex-dividend Date,No dividend
Historical Volatility,0.798
Last (size),2.0
Last (time),3:59p ET 11/28/22
Last Trade,7.02
Market Cap,616.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.45
Short Interest,0.0172
Today's Open,7.43
Volume,236126.0
Volume 10-day Avg,193952.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.4409448818897639
Growth 2yr High Est,0.1279999999999999
Growth 2yr Consensus Est,0.2844724409448819
Growth 5yr Low Est,0.4409448818897639
Growth 5yr High Est,0.1279999999999999
Growth 5yr Consensus Est,0.2844724409448819
Growth 5yr Actual/Est,0.30513340087808183
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),27.18482
Price/Book (MRQ),2.40267
Price/Cash Flow (TTM),
5yr Low,3.18
5yr High,18.84
5yr Avg Return,-0.08183333333333331
Short Int Current Month,1287180.0
Short Int Prev Month,1248853.0
Short Int Pct of Float,0.0172159
Days to Cover,5.21628
Float,74.76712
Shares Outstanding,88.17735
Institutions Holding Shares,119.0
FCF Growth 5yr,0.31044163077186465
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-4.2412
Net Profit Margin (TTM),-4.1863
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.168
EPS Growth (TTM),-1.0876000000000001
Revenue Growth (MRQ),0.1991
Revenue Growth (TTM),-0.2286
Return On Equity (TTM),-0.3169
Return On Assets (TTM),-0.20350000000000001
Return On Investment (TTM),-0.22460000000000002
Revenue Per Employee (TTM),265549.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-21 00:00:00
theStreet since,2022-11-21 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
