,TOL
% Above Low,0.1654
% Held by Institutions,0.8389
52-Wk Range,['39.53 - 75.61']
Annual Dividend $,0.8
Annual Dividend %,0.0171
Ask,46.85
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.4
Bid,45.4
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,46.07
Day Change $,-0.75
Day Change %,-0.016
Day High,47.0
Day Low,45.73
Dividend Pay Date,2022-10-21 00:00:00
"EPS (TTM, GAAP)",8.46
Ex-dividend,2022-10-06 00:00:00
Ex-dividend Date,10/06/22
Historical Volatility,0.443
Last (size),350.0
Last (time),4:10p ET 11/28/22
Last Trade,46.07
Market Cap,5.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.53
Prev Close,46.82
Shares Outstanding,113.3M
Short Interest,0.0359
Today's Open,46.49
Volume,904895.0
Volume 10-day Avg,1134015.0
Volume Past Day,(Light)
