,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,41.8,42.3,50.45,79.97,113.37,92.52,,,,,
low,38.3,23.01,26.77,26.28,70.39,39.5,,,,,
change,-0.0183,-0.2937,0.408,0.8237000000000001,0.2365,-0.49520000000000003,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,158.0,157.0,163.0,172.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,363.0,404.0,397.0,391.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-5.0,-5.0,-5.0,-6.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,357.0,399.0,392.0,385.0,Balance Sheet
Other Receivables,,,,,,,48.0,43.0,43.0,48.0,Balance Sheet
"Total Receivables, Net",,,,,,,405.0,442.0,435.0,433.0,Balance Sheet
Prepaid Expenses,,,,,,,112.0,138.0,131.0,126.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,22.0,15.0,12.0,10.0,Balance Sheet
Total Current Assets,,,,,,,698.0,753.0,741.0,741.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,259.0,266.0,267.0,275.0,Balance Sheet
"Goodwill, Net",,,,,,,739.0,740.0,811.0,806.0,Balance Sheet
Intangibles - Net,,,,,,,212.0,203.0,253.0,243.0,Balance Sheet
Other Long Term Assets,,,,,,,77.0,76.0,72.0,71.0,Balance Sheet
Total Assets,,,,,,,1997.0,2052.0,2165.0,2155.0,Balance Sheet
Accounts Payable,,,,,,,70.0,78.0,98.0,98.0,Balance Sheet
Accrued Expenses,,,,,,,264.0,284.0,245.0,253.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,3.0,,,,Balance Sheet
Customer Advances,,,,,,,96.0,93.0,98.0,91.0,Balance Sheet
Income Taxes Payable,,,,,,,9.0,12.0,12.0,7.0,Balance Sheet
Other Current Liabilities,,,,,,,2.0,5.0,9.0,13.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,107.0,110.0,118.0,111.0,Balance Sheet
Total Current Liabilities,,,,,,,444.0,472.0,461.0,462.0,Balance Sheet
Long Term Debt,,,,,,,791.0,803.0,930.0,955.0,Balance Sheet
Capital Lease Obligations,,,,,,,3.0,,,,Balance Sheet
Total Long Term Debt,,,,,,,794.0,803.0,930.0,955.0,Balance Sheet
Total Debt,,,,,,,797.0,803.0,930.0,955.0,Balance Sheet
Deferred Income Tax,,,,,,,5.0,5.0,5.0,4.0,Balance Sheet
Minority Interest,,,,,,,72.0,73.0,72.0,72.0,Balance Sheet
"Other Liabilities, Total",,,,,,,159.0,163.0,162.0,153.0,Balance Sheet
Total Liabilities,,,,,,,1475.0,1516.0,1630.0,1647.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,361.0,363.0,364.0,364.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,856.0,866.0,891.0,889.0,Balance Sheet
Treasury Stock - Common,,,,,,,-597.0,-596.0,-595.0,-593.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-96.0,-95.0,-117.0,-140.0,Balance Sheet
Other Comprehensive Income,,,,,,,-3.0,-2.0,-8.0,-11.0,Balance Sheet
"Other Equity, Total",,,,,,,-98.0,-97.0,-125.0,-152.0,Balance Sheet
Total Equity,,,,,,,522.0,535.0,535.0,508.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,1997.0,2052.0,2165.0,2155.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,47.0,47.0,47.0,47.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,35.0,35.0,35.0,35.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,612.0,589.0,604.0,592.0,Income Statement
"Cost of Revenue, Total",,,,,,,457.0,447.0,464.0,450.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,69.0,63.0,64.0,72.0,Income Statement
Labor & Related Expense,,,,,,,,2.0,3.0,3.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,69.0,65.0,67.0,75.0,Income Statement
Depreciation/Amortization,,,,,,,26.0,27.0,26.0,27.0,Income Statement
Restructuring Charge,,,,,,,1.0,1.0,3.0,1.0,Income Statement
