,TTWO
% Above Low,0.1251
% Held by Institutions,0.9054000000000001
52-Wk Range,['90.00 - 182.25']
Annual Dividend $,
Annual Dividend %,
Ask,103.5
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.8
Bid,99.66
Bid Size,200.0
Closing Price,101.26
Day Change $,-1.37
Day Change %,-0.013300000000000001
Day High,103.04
Day Low,100.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.11
Ex-dividend Date,No dividend
Historical Volatility,0.44
Last (size),7.0
Last (time),4:00p ET 11/28/22
Market Cap,17.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,102.63
Shares Outstanding,167.8M
Short Interest,0.0271
Today's Open,102.39
Volume,1387645.0
Volume 10-day Avg,2146693.0
Volume Past Day,(Light)
