,TYL
% Above Low,0.1623
% Held by Institutions,0.9091
52-Wk Range,['281.11 - 544.05']
Annual Dividend $,
Annual Dividend %,
Ask,570.7
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,326.73
Day Change $,-4.15
Day Change %,-0.0125
Day High,332.17
Day Low,325.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.43
Ex-dividend Date,No dividend
Historical Volatility,0.41000000000000003
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,13.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",74.63
Prev Close,330.88
Shares Outstanding,41.6M
Short Interest,0.0141
Today's Open,329.96
Volume,244684.0
Volume 10-day Avg,316172.0
Volume Past Day,(Light)
