,UAA
% Above Low,0.4718
% Held by Institutions,0.763
52-Wk Range,['6.38 - 24.91']
Annual Dividend $,
Annual Dividend %,
Ask,10.0
Ask Size,800.0
B/A Ratio,3.0
B/A Size,2400x800
Beta,1.5
Bid,9.39
Bid Size,2400.0
Closing Price,9.39
Day Change $,-0.28
Day Change %,-0.028999999999999998
Day High,9.7
Day Low,9.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.31
Ex-dividend Date,No dividend
Historical Volatility,0.627
Last (size),23.0
Last (time),7:00p ET 11/28/22
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.62
Prev Close,9.67
Shares Outstanding,452.2M
Short Interest,0.12480000000000001
Today's Open,9.54
Volume,7807370.0
Volume 10-day Avg,8281202.0
Volume Past Day,(Average)
