,UCTT
% Above Low,0.40950000000000003
% Held by Institutions,0.8623999999999999
52-Wk Range,['23.32 - 60.49']
Annual Dividend $,
Annual Dividend %,
Ask,32.87
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,2.0
Bid,32.84
Bid Size,400.0
Closing Price,32.87
Day Change $,-1.14
Day Change %,-0.0335
Day High,34.05
Day Low,32.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.25
Ex-dividend Date,No dividend
Historical Volatility,0.599
Last (size),146.0
Last (time),3:59p ET 11/28/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.26
Prev Close,34.01
Short Interest,0.018500000000000003
Today's Open,33.33
Volume,156023.0
Volume 10-day Avg,217280.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.024330900243309084
Growth 1yr High Est,-0.023809523809523947
Growth 1yr Consensus Est,-0.024070212026416515
Growth 2yr Low Est,-0.20044475186729044
Growth 2yr High Est,-0.16434378629500584
Growth 2yr Consensus Est,-0.18239426908114814
Growth 5yr Low Est,0.5547363900365295
Growth 5yr High Est,0.5780116732860636
Growth 5yr Consensus Est,0.5663740316612965
Growth 5yr Actual/Est,0.5486548361548361
Growth 3yr Historic,0.6442307692307692
Price/Earnings (TTM),27.25728
Price/Sales (TTM),0.63863
Price/Book (MRQ),1.77851
Price/Cash Flow (TTM),10.79791
5yr Low,6.94
5yr High,65.33
5yr Avg Return,0.30316666666666664
EPS Growth 5yr,0.5475728
Revenue Growth 5yr,0.301504
Dividend Growth 5yr,
Short Int Current Month,822856.0
Short Int Prev Month,961217.0
Short Int Pct of Float,0.0185147
Days to Cover,2.81831
Float,44.50794
Shares Outstanding,45.49664
Institutions Holding Shares,286.0
FCF Growth 5yr,-1.2850055195911962
"Price/Earnings (TTM, GAAP)",27.26
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2004
Operating Profit Margin (TTM),0.0575
Net Profit Margin (TTM),0.0292
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.3831
EPS Growth (TTM),-0.4403
Revenue Growth (MRQ),0.0432
Revenue Growth (TTM),0.3054
Return On Equity (TTM),0.07
Return On Assets (TTM),0.0365
Return On Investment (TTM),0.047599999999999996
Revenue Per Employee (TTM),342896.0
Total Debt/Total Capital (MRQ),0.36979999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.79
Interest Coverage (MRQ),6.21
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-08-01 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-29 00:00:00
cfra since,
marketEdge opinion since,
