,UFPT
Price/Earnings (TTM),24.61782
Price/Sales (TTM),2.80023
Price/Book (MRQ),3.94849
Price/Cash Flow (TTM),18.64896
5yr Low,26.02
5yr High,119.85
5yr Avg Return,0.30995
EPS Growth 5yr,0.1374813
Revenue Growth 5yr,0.0714186
Dividend Growth 5yr,
Short Int Current Month,90225.0
Short Int Prev Month,100397.0
Short Int Pct of Float,0.0127189
Days to Cover,0.93322
Float,7.09311
Shares Outstanding,7.5786
Institutions Holding Shares,170.0
% Held by Institutions,0.856987
FCF Growth 5yr,-0.26723803852928896
