,UFPT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.62,61.36,Valuation,0.40123859191655803
Price/Sales (TTM),2.8,9.8,Valuation,0.2857142857142857
Price/Book (MRQ),3.95,10.31,Valuation,0.3831231813773036
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.251,0.6196,Profitability,0.4051000645577792
Operating Profit Margin (TTM),0.15410000000000001,0.047,Profitability,3.2787234042553193
Net Profit Margin (TTM),0.11460000000000001,0.009300000000000001,Profitability,12.32258064516129
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),1.1798,-0.4858,Gowth rates,-2.4285714285714284
EPS Growth (TTM),1.158,-0.2029,Gowth rates,-5.707244948250369
Revenue Growth (MRQ),0.0278,0.1161,Gowth rates,0.23944875107665806
Revenue Growth (TTM),0.6343,0.18300000000000002,Gowth rates,3.4661202185792344
Return On Equity (TTM),0.1753,0.1068,Effectiveness,1.6413857677902621
Return On Assets (TTM),0.12,0.0622,Effectiveness,1.9292604501607717
Return On Investment (TTM),0.13720000000000002,0.0732,Effectiveness,1.8743169398907107
Revenue Per Employee (TTM),174452.0,403586.0,Effectiveness,0.4322548354006333
Total Debt/Total Capital (MRQ),0.2395,0.3161,Financial strength,0.7576716229041442
Change in Debt/Total Capital Quarter over Quarter,4.5384,0.0125,Financial strength,363.072
Quick Ratio (MRQ),1.33,2.25,Financial strength,0.5911111111111111
Interest Coverage (MRQ),12.48,14.99,Financial strength,0.8325550366911274
