,UHS
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.1725625539257981
Growth 1yr High Est,-0.15950413223140492
Growth 1yr Consensus Est,-0.16603334307860151
Growth 2yr Low Est,-0.07168273681691367
Growth 2yr High Est,0.006285298682724261
Growth 2yr Consensus Est,-0.032698719067094706
Growth 5yr Low Est,0.014417698949056118
Growth 5yr High Est,0.05900715894702438
Growth 5yr Consensus Est,0.03671242894804025
Growth 5yr Actual/Est,0.027035889745128078
Growth 3yr Historic,0.04401568835022074
