,ULH
% Below High,0.11560000000000001
% Held by Institutions,0.237
52-Wk Range,['15.86 - 40.76']
Annual Dividend $,0.42
Annual Dividend %,0.011399999999999999
Ask,36.78
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.2
Bid,36.05
Bid Size,300.0
Closing Price,36.05
Day Change $,-0.66
Day Change %,-0.018000000000000002
Day High,37.47
Day Low,35.78
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",5.7
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.446
Last (size),13.0
Last (time),3:59p ET 11/28/22
Market Cap,945.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.44
Prev Close,36.71
Shares Outstanding,26.3M
Short Interest,0.031
Today's Open,36.89
Volume,49299.0
Volume 10-day Avg,56774.0
Volume Past Day,(Below Average)
