,UNM
Price/Earnings (TTM),7.03826
Price/Sales (TTM),0.69005
Price/Book (MRQ),0.95429
Price/Cash Flow (TTM),6.31389
5yr Low,9.58
5yr High,58.73
5yr Avg Return,0.007949999999999981
EPS Growth 5yr,0.0038472000000000003
Revenue Growth 5yr,0.016369599999999998
Dividend Growth 5yr,0.08727410000000001
Short Int Current Month,4270019.0
Short Int Prev Month,5206621.0
Short Int Pct of Float,0.021641599999999997
Days to Cover,2.41878
Float,197.4037
Shares Outstanding,198.9409
Institutions Holding Shares,626.0
% Held by Institutions,0.8762019999999999
FCF Growth 5yr,0.3375845302735592
