,UNM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.04,19.61,Valuation,0.3590005099439062
Price/Sales (TTM),0.69,2.33,Valuation,0.296137339055794
Price/Book (MRQ),0.95,3.82,Valuation,0.2486910994764398
"PEG Ratio (TTM, GAAP)",0.45,37.63,Valuation,0.011958543715120914
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.1383,0.1298,Profitability,1.0654853620955316
Net Profit Margin (TTM),0.0998,0.10460000000000001,Profitability,0.9541108986615677
Annual Dividend Yield,0.0318,0.0168,Dividend,1.892857142857143
Dividend Change %,0.0263,-0.0075,Dividend,-3.506666666666667
"Dividend Growth Rate, 3 Years",0.0608,0.0225,Dividend,2.7022222222222223
EPS Growth (MRQ),0.1131,-0.0779,Gowth rates,-1.4518613607188704
EPS Growth (TTM),0.5105,-0.005200000000000001,Gowth rates,-98.1730769230769
Revenue Growth (MRQ),-0.026000000000000002,0.0897,Gowth rates,-0.2898550724637681
Revenue Growth (TTM),-0.10099999999999999,0.042800000000000005,Gowth rates,-2.359813084112149
Return On Equity (TTM),0.1208,0.3775,Effectiveness,0.32
Return On Assets (TTM),0.0182,0.031200000000000002,Effectiveness,0.5833333333333334
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),1184594.0,1261907.0,Effectiveness,0.938733203001489
Total Debt/Total Capital (MRQ),0.2837,0.4026,Financial strength,0.7046696472925981
Change in Debt/Total Capital Quarter over Quarter,0.0016,0.002,Financial strength,0.8
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),12.3,10.79,Financial strength,1.1399443929564412
