,UPS
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,0.12368421052631584
Growth 1yr High Est,0.09704641350210963
Growth 1yr Consensus Est,0.11036531201421274
Growth 2yr Low Est,-0.055253913472205096
Growth 2yr High Est,0.06775397598182409
Growth 2yr Consensus Est,0.006250031254809496
Growth 5yr Low Est,0.10492337883436725
Growth 5yr High Est,0.17316739534965053
Growth 5yr Consensus Est,0.1390453870920089
Growth 5yr Actual/Est,0.14562976172791445
Growth 3yr Historic,0.14170938764181829
