,USFD
Price/Earnings (TTM),41.82629
Price/Sales (TTM),0.24345
Price/Book (MRQ),2.05806
Price/Cash Flow (TTM),14.19696
5yr Low,8.32
5yr High,43.1
5yr Avg Return,0.055183333333333334
EPS Growth 5yr,-0.1217597
Revenue Growth 5yr,0.051688200000000004
Dividend Growth 5yr,
Short Int Current Month,1809977.0
Short Int Prev Month,2931263.0
Short Int Pct of Float,0.0083585
Days to Cover,1.00311
Float,217.0819
Shares Outstanding,224.8906
Institutions Holding Shares,408.0
% Held by Institutions,0.997976
FCF Growth 5yr,0.8312215985030741
