,UTL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.38,23.73,Valuation,0.8588284871470712
Price/Sales (TTM),1.56,2.69,Valuation,0.5799256505576208
Price/Book (MRQ),1.84,2.13,Valuation,0.863849765258216
"PEG Ratio (TTM, GAAP)",2.87,0.62,Valuation,4.629032258064516
Gross Profit Margin (TTM),0.3123,0.2545,Profitability,1.2271119842829077
Operating Profit Margin (TTM),0.1501,0.1723,Profitability,0.8711549622751016
Net Profit Margin (TTM),0.0765,0.10310000000000001,Profitability,0.7419980601357904
Annual Dividend Yield,0.0296,0.0332,Dividend,0.891566265060241
Dividend Change %,0.013300000000000001,-0.0167,Dividend,-0.7964071856287426
"Dividend Growth Rate, 3 Years",0.013500000000000002,0.016399999999999998,Dividend,0.8231707317073172
EPS Growth (MRQ),-0.898,0.7661,Gowth rates,-1.1721707348910064
EPS Growth (TTM),0.111,0.38189999999999996,Gowth rates,0.29065200314218387
Revenue Growth (MRQ),0.1143,0.2281,Gowth rates,0.501096010521701
Revenue Growth (TTM),0.2023,0.1961,Gowth rates,1.03161652218256
Return On Equity (TTM),0.0922,0.08710000000000001,Effectiveness,1.0585533869115957
Return On Assets (TTM),0.0268,0.0227,Effectiveness,1.1806167400881058
Return On Investment (TTM),0.029900000000000003,0.0265,Effectiveness,1.128301886792453
Revenue Per Employee (TTM),1065945.0,960944.0,Effectiveness,1.109268594215688
Total Debt/Total Capital (MRQ),0.5556,0.5784,Financial strength,0.9605809128630705
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0002,Financial strength,0.5
Quick Ratio (MRQ),0.72,0.59,Financial strength,1.2203389830508475
Interest Coverage (MRQ),1.09,3.04,Financial strength,0.3585526315789474
