,VECO
% Above Low,0.1577
% Held by Institutions,1.0205
52-Wk Range,['16.11 - 32.40']
Annual Dividend $,
Annual Dividend %,
Ask,18.65
Ask Size,6900.0
B/A Ratio,0.08695652173913043
B/A Size,600x6900
Beta,1.3
Bid,18.63
Bid Size,600.0
Closing Price,18.65
Day Change $,-0.8
Day Change %,-0.041100000000000005
Day High,19.23
Day Low,18.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.75
Ex-dividend Date,No dividend
Historical Volatility,0.467
Last (size),3.0
Last (time),3:59p ET 11/28/22
Market Cap,960.1M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.93
Prev Close,19.45
Shares Outstanding,51.4M
Short Interest,0.0913
Today's Open,19.23
Volume,390940.0
Volume 10-day Avg,434548.0
Volume Past Day,(Average)
