,VIR
% Above Low,0.49310000000000004
% Held by Institutions,0.7463
52-Wk Range,['18.05 - 58.00']
Annual Dividend $,
Annual Dividend %,
Ask,26.95
Ask Size,3600.0
B/A Ratio,1.0277777777777777
B/A Size,3700x3600
Beta,
Bid,26.93
Bid Size,3700.0
Closing Price,26.95
Day Change $,-0.28
Day Change %,-0.0103
Day High,28.13
Day Low,26.84
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.5
Ex-dividend Date,No dividend
Historical Volatility,0.762
Last (size),3.0
Last (time),4:00p ET 11/28/22
Market Cap,3.6B
"P/E Ratio (TTM, GAAP)",3.2
Prev Close,27.23
Short Interest,0.036699999999999997
Today's Open,27.2
Volume,751811.0
Volume 10-day Avg,696607.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-2.1734104046242773
Growth 2yr High Est,-1.19916142557652
Growth 2yr Consensus Est,-1.6862859151003986
Growth 5yr Low Est,-2.1734104046242773
Growth 5yr High Est,-1.19916142557652
Growth 5yr Consensus Est,-1.6862859151003986
Growth 5yr Actual/Est,-1.1968415623949737
Growth 3yr Historic,-0.78548133853475
Price/Earnings (TTM),3.20269
Price/Sales (TTM),1.52355
Price/Book (MRQ),1.68492
Price/Cash Flow (TTM),3.15443
5yr Low,11.65
5yr High,141.01
5yr Avg Return,0.270075
Short Int Current Month,4214692.0
Short Int Prev Month,4402985.0
Short Int Pct of Float,0.0366707
Days to Cover,3.67526
Float,115.0983
Shares Outstanding,133.1156
Institutions Holding Shares,304.0
FCF Growth 5yr,-2.2670358746662624
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",3.2
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9170999999999999
Operating Profit Margin (TTM),0.6537000000000001
Net Profit Margin (TTM),0.4803
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.2492
EPS Growth (TTM),11.043
Revenue Growth (MRQ),10.219
Revenue Growth (TTM),7.3654
Return On Equity (TTM),0.7552
Return On Assets (TTM),0.5851
Return On Investment (TTM),0.6793000000000001
Revenue Per Employee (TTM),5358410.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),45.79
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
researchTeam,rating-box
marketEdge opinion,
theStreet since,
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-06 00:00:00
cfra since,
researchTeam since,
marketEdge opinion since,
