,VIRT
% Above Low,0.0828
% Held by Institutions,0.9135
52-Wk Range,['20.42 - 38.63']
Annual Dividend $,0.96
Annual Dividend %,0.0431
Ask,22.12
Ask Size,59900.0
B/A Ratio,0.08013355592654424
B/A Size,4800x59900
Beta,0.0
Bid,22.1
Bid Size,4800.0
Closing Price,22.11
Day Change $,-0.14
Day Change %,-0.0063
Day High,22.45
Day Low,22.01
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.09
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.33
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,2.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.19
Prev Close,22.25
Shares Outstanding,99.8M
Short Interest,0.029500000000000002
Today's Open,22.21
Volume,930421.0
Volume 10-day Avg,921279.0
Volume Past Day,(Average)
