,VIVO
% Below High,0.08130000000000001
% Held by Institutions,0.8729
52-Wk Range,['17.20 - 34.38']
Annual Dividend $,
Annual Dividend %,
Ask,32.26
Ask Size,200.0
B/A Ratio,8.5
B/A Size,1700x200
Beta,0.3
Bid,30.95
Bid Size,1700.0
Closing Price,31.58
Day Change $,-0.34
Day Change %,-0.010700000000000001
Day High,32.08
Day Low,31.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.96
Ex-dividend Date,No dividend
Historical Volatility,0.34
Last (size),2.0
Last (time),4:00p ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",33.36
Prev Close,31.92
Short Interest,0.044800000000000006
Today's Open,31.82
Volume,186491.0
Volume 10-day Avg,251584.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,0.0
Growth 2yr Low Est,-0.254601226993865
Growth 2yr High Est,-0.24085365853658536
Growth 2yr Consensus Est,-0.24772744276522518
Growth 5yr Low Est,0.034886310716961244
Growth 5yr High Est,0.026732481610530323
Growth 5yr Consensus Est,0.030809396163745784
Growth 5yr Actual/Est,0.00023292068583221268
Growth 3yr Historic,0.13594720640011793
Price/Earnings (TTM),33.35563
Price/Sales (TTM),4.20093
Price/Book (MRQ),3.79466
Price/Cash Flow (TTM),23.72366
5yr Low,5.51
5yr High,34.38
5yr Avg Return,0.2164
EPS Growth 5yr,0.1357186
Revenue Growth 5yr,0.1065049
Dividend Growth 5yr,
Short Int Current Month,1939096.0
Short Int Prev Month,2027542.0
Short Int Pct of Float,0.0448411
Days to Cover,7.46449
Float,43.23932
Shares Outstanding,43.82782
Institutions Holding Shares,278.0
FCF Growth 5yr,0.344518676240785
"Price/Earnings (TTM, GAAP)",33.36
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5656
Operating Profit Margin (TTM),0.16329999999999997
Net Profit Margin (TTM),0.1275
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.7562
EPS Growth (TTM),-0.4105
Revenue Growth (MRQ),-0.0309
Revenue Growth (TTM),0.047599999999999996
Return On Equity (TTM),0.1219
Return On Assets (TTM),0.09300000000000001
Return On Investment (TTM),0.1051
Revenue Per Employee (TTM),432491.0
Total Debt/Total Capital (MRQ),0.0636
Change in Debt/Total Capital Quarter over Quarter,-0.006
Quick Ratio (MRQ),2.46
Interest Coverage (MRQ),43.08
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-10-29 00:00:00
theStreet since,2020-05-15 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-06-17 00:00:00
cfra since,
marketEdge opinion since,
