,VLY
% Above Low,0.2318
% Held by Institutions,0.7014
52-Wk Range,['10.01 - 15.10']
Annual Dividend $,0.44
Annual Dividend %,0.0349
Ask,13.6
Ask Size,500.0
B/A Ratio,50.2
B/A Size,25100x500
Beta,1.1
Bid,12.33
Bid Size,25100.0
Closing Price,12.33
Day Change $,-0.27
Day Change %,-0.021400000000000002
Day High,12.54
Day Low,12.29
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.07
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.322
Last (size),2.0
Last (time),3:59p ET 11/28/22
Market Cap,6.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.83
Prev Close,12.6
Shares Outstanding,506.4M
Short Interest,0.0227
Today's Open,12.51
Volume,1494229.0
Volume 10-day Avg,1850241.0
Volume Past Day,(Below Average)
