,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,58.0,18.37,,,,,
low,17.1,3.34,,,,,
change,-0.6735,-0.7827,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,322.0,291.0,268.0,273.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,39.0,48.0,36.0,Balance Sheet
Prov. for Doubtful Accts,,,,-4.0,-8.0,-5.0,Balance Sheet
"Total Receivables, Net",,,29.0,35.0,40.0,31.0,Balance Sheet
Prepaid Expenses,,,18.0,16.0,19.0,17.0,Balance Sheet
"Other Curr. Assets, Total",,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Assets,,,370.0,342.0,328.0,322.0,Balance Sheet
Prop./Plant/Equip. - Net,,,3.0,3.0,1.0,1.0,Balance Sheet
"Goodwill, Net",,,243.0,245.0,245.0,245.0,Balance Sheet
Intangibles - Net,,,11.0,9.0,8.0,7.0,Balance Sheet
Other Long Term Assets,,,23.0,22.0,16.0,29.0,Balance Sheet
Total Assets,,,649.0,622.0,599.0,604.0,Balance Sheet
Accounts Payable,,,18.0,15.0,3.0,6.0,Balance Sheet
Payable/Accrued,,,67.0,65.0,63.0,63.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,173.0,172.0,177.0,169.0,Balance Sheet
Total Current Liabilities,,,258.0,253.0,243.0,238.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,21.0,11.0,6.0,19.0,Balance Sheet
Total Liabilities,,,279.0,264.0,250.0,257.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,2.0,2.0,2.0,2.0,Balance Sheet
Additional Paid-In Capital,,,705.0,719.0,737.0,757.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-336.0,-362.0,-389.0,-410.0,Balance Sheet
"Other Equity, Total",,,0.0,0.0,-1.0,-1.0,Balance Sheet
Total Equity,,,371.0,358.0,349.0,347.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,649.0,622.0,599.0,604.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,157.0,157.0,157.0,157.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,9.0,9.0,9.0,9.0,Balance Sheet
Ttl Comm. Shares Outs.,,,166.0,166.0,166.0,166.0,Balance Sheet
