,VRAY
% Below High,0.2304
% Held by Institutions,0.8382
52-Wk Range,['2.39 - 5.99']
Annual Dividend $,
Annual Dividend %,
Ask,4.62
Ask Size,6900.0
B/A Ratio,0.14492753623188406
B/A Size,1000x6900
Beta,1.0
Bid,4.54
Bid Size,1000.0
Closing Price,4.61
Day Change $,-0.07
Day Change %,-0.015
Day High,4.73
Day Low,4.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.6
Ex-dividend Date,No dividend
Historical Volatility,0.6829999999999999
Last (size),75.0
Last (time),3:59p ET 11/28/22
Market Cap,836.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.68
Short Interest,0.0426
Today's Open,4.6
Volume,376759.0
Volume 10-day Avg,722735.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.14084507042253513
Growth 1yr High Est,-0.10769230769230775
Growth 1yr Consensus Est,-0.12426868905742144
Growth 2yr Low Est,-0.07861925652274299
Growth 2yr High Est,-0.12281167108753316
Growth 2yr Consensus Est,-0.10071546380513807
Growth 5yr Low Est,-0.07019061545960643
Growth 5yr High Est,-0.10568397120121253
Growth 5yr Consensus Est,-0.08793729333040949
Growth 5yr Actual/Est,-0.15844953893176325
Growth 3yr Historic,-0.11588692825632688
Price/Earnings (TTM),
Price/Sales (TTM),9.65878
Price/Book (MRQ),8.12838
Price/Cash Flow (TTM),
5yr Low,1.11
5yr High,13.21
5yr Avg Return,-0.09389999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.2582064
Dividend Growth 5yr,
Short Int Current Month,7042337.0
Short Int Prev Month,8138205.0
Short Int Pct of Float,0.0426281
Days to Cover,7.47716
Float,176.3123
Shares Outstanding,181.4158
Institutions Holding Shares,208.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0618
Operating Profit Margin (TTM),-1.2557
Net Profit Margin (TTM),-1.2125000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.057800000000000004
EPS Growth (TTM),0.129
Revenue Growth (MRQ),0.196
Revenue Growth (TTM),0.2891
Return On Equity (TTM),-0.9601999999999999
Return On Assets (TTM),-0.4097
Return On Investment (TTM),-0.564
Revenue Per Employee (TTM),329221.0
Total Debt/Total Capital (MRQ),0.35990000000000005
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),2.18
Interest Coverage (MRQ),-24.68
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2019-05-06 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
