,VRNS
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-1.1354166666666667
Growth 1yr High Est,-1.1666666666666667
Growth 1yr Consensus Est,-1.1510416666666667
Growth 2yr Low Est,-0.6830929487179487
Growth 2yr High Est,1.6166666666666667
Growth 2yr Consensus Est,0.466786858974359
Growth 5yr Low Est,-0.34154647435897434
Growth 5yr High Est,0.8083333333333333
Growth 5yr Consensus Est,0.2333934294871795
Growth 5yr Actual/Est,-0.6082173874512584
Growth 3yr Historic,-0.841733870967742
