,VRT
% Above Low,0.6881
% Held by Institutions,0.9688
52-Wk Range,['7.76 - 27.04']
Annual Dividend $,0.01
Annual Dividend %,0.0007000000000000001
Ask,13.24
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.6
Bid,11.99
Bid Size,100.0
Closing Price,13.1
Day Change $,-0.64
Day Change %,-0.0466
Day High,14.06
Day Low,13.03
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.19
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.7859999999999999
Last (size),5.0
Last (time),7:00p ET 11/28/22
Market Cap,4.9B
"P/E Ratio (TTM, GAAP)",71.78
Prev Close,13.74
Shares Outstanding,377.3M
Short Interest,0.0254
Today's Open,13.49
Volume,2479180.0
Volume 10-day Avg,3036392.0
Volume Past Day,(Below Average)
