,VSEC
% Above Low,0.5074000000000001
% Held by Institutions,0.6659999999999999
52-Wk Range,['31.85 - 64.29']
Annual Dividend $,0.4
Annual Dividend %,0.008199999999999999
Ask,48.25
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.5
Bid,48.0
Bid Size,300.0
Closing Price,48.01
Day Change $,-0.77
Day Change %,-0.0158
Day High,48.41
Day Low,47.67
Dividend Pay Date,2022-11-16 00:00:00
"EPS (TTM, GAAP)",2.29
Ex-dividend,2022-11-01 00:00:00
Ex-dividend Date,11/01/22
Historical Volatility,0.452
Last (size),450.0
Last (time),3:59p ET 11/28/22
Market Cap,614.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.34
Prev Close,48.78
Shares Outstanding,12.8M
Short Interest,0.0073
Today's Open,48.32
Volume,29393.0
Volume 10-day Avg,29654.0
Volume Past Day,(Average)
