,VTOL
Price/Earnings (TTM),45.7411
Price/Sales (TTM),0.60709
Price/Book (MRQ),0.94075
Price/Cash Flow (TTM),7.56171
5yr Low,10.5
5yr High,42.69
5yr Avg Return,-0.03491666666666666
Short Int Current Month,350778.0
Short Int Prev Month,391028.0
Short Int Pct of Float,0.0128267
Days to Cover,4.37909
Float,27.34747
Shares Outstanding,28.01639
Institutions Holding Shares,173.0
% Held by Institutions,0.9470050000000001
FCF Growth 5yr,-0.9387660244298773
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
