,VVV
% Below High,0.15
% Held by Institutions,0.9289000000000001
52-Wk Range,['24.40 - 37.97']
Annual Dividend $,0.5
Annual Dividend %,0.0152
Ask,34.5
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,24.5
Bid Size,200.0
Closing Price,32.27
Day Change $,-0.53
Day Change %,-0.016200000000000003
Day High,32.92
Day Low,31.96
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.61
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.341
Last (size),26.0
Last (time),7:00p ET 11/28/22
Market Cap,5.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",54.09
Prev Close,32.8
Shares Outstanding,177.0M
Short Interest,0.0172
Today's Open,32.36
Volume,2244250.0
Volume 10-day Avg,1890649.0
Volume Past Day,(Above Average)
