,VVX
% Below High,0.1873
% Held by Institutions,0.963
52-Wk Range,['29.55 - 48.75']
Annual Dividend $,
Annual Dividend %,
Ask,43.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,37.0
Bid Size,100.0
Closing Price,39.62
Day Change $,-1.17
Day Change %,-0.0287
Day High,40.19
Day Low,39.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.18
Ex-dividend Date,No dividend
Historical Volatility,0.511
Last (size),1100.0
Last (time),7:00p ET 11/28/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",34.67
Prev Close,40.79
Shares Outstanding,30.5M
Short Interest,0.0143
Today's Open,40.04
Volume,53036.0
Volume 10-day Avg,62109.0
Volume Past Day,(Below Average)
