,WAFD
Next Earnings Announcement,2023-01-12 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.11838006230529596
Growth 1yr High Est,0.31595092024539895
Growth 1yr Consensus Est,0.21716549127534746
Growth 2yr Low Est,0.17896718992702132
Growth 2yr High Est,0.18361648576372513
Growth 2yr Consensus Est,0.18129183784537323
Growth 5yr Low Est,0.238332279174037
Growth 5yr High Est,0.24031159932513313
Growth 5yr Consensus Est,0.23932193924958506
Growth 5yr Actual/Est,0.2299209089069379
Growth 3yr Historic,0.15485376674165807
