,WFRD
% Below High,0.0393
% Held by Institutions,0.9822
52-Wk Range,['16.96 - 44.57']
Annual Dividend $,
Annual Dividend %,
Ask,42.86
Ask Size,900.0
B/A Ratio,2.7777777777777777
B/A Size,2500x900
Beta,
Bid,42.82
Bid Size,2500.0
Closing Price,42.82
Day Change $,-0.35
Day Change %,-0.008100000000000001
Day High,43.41
Day Low,40.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.97
Ex-dividend Date,No dividend
Historical Volatility,2.3369999999999997
Last (size),2.0
Last (time),3:59p ET 11/28/22
Market Cap,3.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,43.17
Shares Outstanding,70.6M
Short Interest,0.0258
Today's Open,41.84
Volume,620286.0
Volume 10-day Avg,457816.0
Volume Past Day,(Heavy Day)
